Match Number,Date,Time (EST),Opponent,Goals,Shots,Shots on target,Shots off target,Shots on post,Shot Accuracy,Attempts inside box,Attempts outside box,Headed shots,Headed goals,Left footed shots,Right footed shots,Free kick shots,Free kick goals,Penalty kicks,Penalty kick goals,Possession,Possession time,Passes,Accurate passes,Pass Accuracy,Long balls,Accurate long balls,Long ball pct,Crosses,Accurate crosses,Cross pct,Through balls,Accurate through balls,Assists,Shot assists,Offsides,xG,xG non-penalty,xG open play,xG set play,xG on target,xA,xA open play,xA set play,Big chances created,Big chances missed,Final third entries,Penalty area entries,Successful final third passes,Total final third passes,Touches in opp box,Dispossessed,Unsuccessful touches,Fouled in final third,Total fastbreaks,Accurate throws,Total throws,Total back zone pass,Total fwd zone pass,Fouls committed,Fouls suffered,Yellow cards,Red cards,Corners won,Corners conceded,Aerials won,Aerials lost,Aerial duel pct,Duels,Duels won,Duels lost,Duel win pct,Ground duels,Ground duels won,Contests won,Total contests,Touches,Pass pct,Blocked shots,Effective clearances,Total clearances,Tackles won,Tackles lost,Total tackles,Tackle pct,Interceptions,Ball recoveries,Poss won att 3rd,Poss won mid 3rd,Poss won def 3rd,Attempts conceded inside box,Attempts conceded outside box,PPDA,FK fouls lost,Challenges lost,Defensive actions,Clean sheet,Goals conceded,Saves,Save pct,Shots faced,Crosses claimed,Unclaimed crosses,Punches,Smothers,PK faced,PK saved,PK save pct,PK conceded,Shootout kicks faced,Shootout saves,Shootout save pct,xG conceded,xG conceded non-pen,xG on target conceded,xG on target conceded non-pen,Accurate sweeper actions,Total sweeper actions,Good high claims,Total high claims,Accurate goal kicks,Goal kicks,Accurate keeper throws,Keeper throws,Goals prevented,Shots on goal against,ATK,DEF,EFF,AGG
4,6/12/2026,21:00,USA,1,9,1,8,0,11%,4,5,0,0,4,5,13,0,0,0,35%,0.0,319,232,73%,59,20,0.34,5,1,0.0,0,0,1,7,1,0.54,0.54,0.24,0.29,0.42,0.26,0.26,0.0,1,,36,14,17,46,11,5,11,,,6,17,202,122,17,13,5,0,1,3,16,18,0.47,120,55,65,0.46,86,39,6,10,502,0.73,5,33,33,16,0,21,0.76,10,40,1,13,18,14,3,12.3,17,22,32,0,4,3,0.0,16,0,0,0,0,0,0,0.0,0,0,0,0.0,1.42,1.42,2.54,2.54,1,1,,,5,7,5,5,-1.46,7,15.5,62.7,42.2,30.2
4,6/19/2026,23:00,Turkey,1,7,2,5,0,29%,3,4,0,0,4,2,13,0,0,0,22%,0.0,178,96,54%,64,22,0.34,6,2,0.33,1,0,1,5,3,0.32,0.32,0.18,0.15,0.21,0.19,0.09,0.09,,,46,19,25,63,12,7,13,2,1,7,18,65,119,15,13,1,1,0,12,20,15,0.57,132,72,60,0.55,97,52,15,25,405,0.54,2,48,48,15,0,25,0.6,9,49,1,13,26,16,16,15.2,15,13,20,1,0,5,0.01,32,0,0,1,0,0,0,0.0,0,0,0,0.0,2.17,2.17,0.67,0.67,1,1,,,4,13,,,0.67,5,15.5,62.7,42.2,30.2
4,6/25/2026,22:00,Australia,0,7,2,5,0,29%,3,4,0,0,1,6,6,0,0,0,44%,0.0,426,330,77%,59,14,0.24,7,0,0.0,1,0,0,5,0,0.24,0.24,0.18,0.07,0.3,0.21,0.2,0.01,0,0,57,17,52,91,7,9,20,0,1,20,26,203,230,9,6,1,0,1,3,20,25,0.44,119,55,64,0.46,74,35,5,16,612,0.78,1,24,24,17,0,24,0.71,8,43,1,17,21,7,5,15.9,9,11,27,1,0,5,0.01,12,0,0,0,0,0,0,0.0,0,0,0,0.0,0.55,0.55,0.6,0.6,0,0,0,0,4,9,2,2,0.6,5,15.5,62.7,42.2,30.2
